id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,PM_ug/m3,PM_ug/m3_QC_level,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,groups
24,Madera Elementary School,madera,1039,37.928,-122.299,9.106000,206.726608,2017-06-15,2022-04-18 12:00:00,-999,1,-999,1,-999,1,['ContraCosta']
25,Fred T. Korematsu (Portola) Middle School,Korematsu (El Cerrito),1041,37.920,-122.306,5.371000,41.042336,2017-06-15,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', ""Richmond 1 - Naomi's Subnetwork""]"
26,Peres Elementary School,peres,1001,37.940,-122.365,6.264000,6.107825,2017-06-16,2022-12-06 04:00:00,12.0944956425,1a,-999,1,451.4574649624203,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
27,Lupine Hills Elementary School,hercules,166,38.008,-122.253,6.700000,45.144012,2017-06-16,2018-07-10 15:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
28,Collins Elementary School,collins,1141,38.002,-122.289,,9.618982,2017-06-16,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
29,Montalvin Elementary School,montalvin,1046,37.995,-122.335,5.033000,29.129711,2017-06-16,2022-04-18 17:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
30,Sheldon Elementary School,sheldon,1139,37.967,-122.298,,39.155693,2017-06-16,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
31,Fred T. Korematsu Elementary School,Korematsu (Oakland),964,37.737,-122.175,,9.982938,2012-09-28,2022-12-06 04:00:00,66.11017668,1a,-999,1,483.9103275282605,1,['Alameda']
33,Oakland High School,oaklandhs,977,37.804,-122.237,9.528000,47.583321,2012-11-27,2022-12-06 04:00:00,8.599970377499998,1a,-999,1,412.16460459381875,1a,['Alameda']
35,Bishop O'Dowd High School,odowd,980,37.754,-122.155,3.000000,73.729637,2015-11-19,2021-06-03 14:00:00,-999,1,-999,1,-999,1,['Alameda']
36,North Oakland Community Charter School,noccs,228,37.833,-122.277,3.000000,18.210779,2017-09-01,2018-08-22 16:00:00,15.637801334999999,1a,-999,1,393.90223616989795,1a,['Alameda']
